id,frequency,recommand
42,4,0
63,5,0
117,50,0
152,17,0
164,25,0
248,4,0
315,23,0
376,18,0
468,37,0
558,28,0
616,3,0
631,11,0
637,7,0
695,45,0
738,47,0
834,29,0
842,2,0
844,14,0
931,46,0
1010,49,0
1086,46,0
1132,3,0
1193,24,0
1209,48,0
1277,41,0
1281,17,0
1347,31,0
1376,12,0
1432,43,0
1461,7,0
1501,12,0
1585,22,0
1659,13,0
1661,47,0
1724,30,0
1745,17,0
1801,3,0
1863,18,0
1960,23,0
2003,16,0
2019,43,0
2032,5,0
2093,12,0
2152,45,0
2197,14,0
2271,26,0
2314,44,0
2319,18,0
2327,5,0
2362,26,0
2460,47,1
2464,27,0
2513,22,0
2532,32,0
2613,1,0
2683,42,0
2742,14,0
2764,42,0
2804,28,0
2848,16,1
2922,11,1
3000,48,0
3085,11,0
3123,16,0
3142,30,0
3208,8,0
3253,34,0
3333,23,0
3430,10,0
3445,7,0
3486,0,0
3501,50,0
3549,33,0
3633,3,0
3679,18,0
3749,29,0
3800,20,0
3828,21,0
3875,1,0
3935,37,0
3961,39,0
4045,29,0
4078,39,0
4143,50,0
4150,8,0
4214,49,0
4280,31,0
4295,32,0
4305,29,0
4380,16,0
4441,29,0
4532,29,0
4542,47,0
4607,25,0
4669,42,0
4701,36,0
4780,16,0
4868,29,0
4948,21,0
5046,42,0
5117,32,0
5178,41,0
5203,30,0
5232,23,0
5317,19,0
5409,42,0
5483,44,0
5560,42,1
5647,4,0
5728,46,0
5775,7,0
5819,13,0
5885,19,0
5922,50,0
5957,35,0
5993,29,0
6026,2,0
6068,44,1
6105,30,0
6137,47,0
6150,36,0
6194,37,0
6271,40,0
6299,34,0
6304,3,0
6343,11,0
6390,14,0
6444,39,0
6488,13,0
6513,5,1
6571,46,0
6667,20,0
6736,5,0
6829,28,0
6905,25,0
6922,40,0
6991,42,0
7080,24,0
7108,8,0
7153,48,0
7186,23,1
7251,50,0
7258,17,0
7313,34,0
7353,4,0
7437,1,0
7439,44,0
7500,50,0
7591,32,0
7630,0,0
7711,2,0
7764,34,0
7791,38,0
7864,48,0
7899,37,0
7954,37,0
8010,25,0
8088,34,0
8160,12,0
8184,45,0
8198,2,0
8207,41,0
8212,22,0
8232,10,0
8261,30,0
8346,15,0
8354,0,0
8448,7,0
8503,21,0
8519,45,1
8603,37,0
8613,35,0
8634,25,0
8722,27,0
8746,11,0
8831,39,0
8875,10,1
8936,35,0
8967,17,0
8982,15,0
9041,40,0
9134,16,0
9202,14,0
9264,47,0
9329,18,0
9343,2,0
9374,9,0
9454,16,0
9483,15,0
9572,4,0
9657,42,0
9666,27,0
9678,25,0
9718,6,0
9781,21,0
9849,30,0
9897,13,0
9977,50,0
9989,36,0
9994,31,0
10012,48,0
10050,33,0
10088,1,0
10174,17,0
10178,17,0
10240,18,0
10323,18,0
10396,6,1
10463,6,0
10507,40,1
10526,23,0
10601,34,0
10700,36,0
10779,4,0
10877,7,0
10959,0,0
11025,20,0
11032,16,0
11124,6,0
11151,17,0
11173,48,0
11186,31,0
11232,1,0
11255,2,0
11310,11,0
11364,46,0
11448,10,0
11543,16,0
11564,27,0
11644,6,0
11705,5,0
11728,27,0
11743,24,0
11785,37,0
11802,7,0
11825,45,0
11847,39,0
11899,9,0
11936,40,0
11967,7,0
12036,21,0
12069,31,0
12093,20,0
12137,30,1
12226,11,0
12285,34,0
12313,1,0
12356,19,1
12358,39,0
12418,30,0
12441,47,0
12463,5,0
12491,9,1
12568,44,0
12620,24,0
12691,7,0
12740,48,0
12791,40,0
12825,38,0
12895,48,0
12959,18,0
12981,15,0
13041,35,0
13047,27,0
13099,28,0
13134,8,0
13229,18,0
13245,31,0
13343,18,0
13387,20,0
13465,19,0
13562,11,0
13616,30,0
13631,16,0
13721,50,0
13814,26,0
13904,8,0
14000,27,0
14075,22,0
14091,50,0
14151,25,0
14156,41,0
14215,39,0
14268,25,0
14302,9,0
14386,28,0
14472,22,0
14533,47,0
14542,10,0
14570,14,0
14585,8,0
14598,20,0
14671,20,0
14697,15,0
14735,29,0
14755,39,0
14832,41,0
14902,50,0
14983,13,0
15027,22,0
15085,47,0
15133,36,0
15212,13,0
15310,12,0
15398,44,0
15447,30,0
15503,13,0
15519,31,0
15589,13,0
15676,30,0
15721,22,0
15736,34,0
15778,39,0
15865,14,0
15938,48,0
15975,14,0
16018,33,0
16053,28,0
16064,43,0
16133,48,0
16174,28,0
16213,14,0
16279,9,0
16327,48,0
16419,28,0
16429,8,0
16500,29,0
16525,45,0
16533,12,0
16606,41,0
16656,40,0
16686,49,0
16727,9,0
16802,38,0
16851,6,0
16885,43,0
16949,6,0
17042,21,0
17059,27,0
17159,14,1
17175,3,0
17182,11,0
17217,45,0
17287,7,1
17322,12,0
17334,27,0
17350,41,0
17389,44,0
17463,31,0
17522,23,0
17529,28,0
17573,42,0
17649,21,0
17746,0,0
17766,18,0
17797,38,0
17852,46,0
17923,43,0
17965,10,0
17999,34,0
18020,43,0
18063,45,0
18098,32,0
18129,11,0
18138,31,0
18197,15,0
18251,8,0
18282,8,0
18293,41,0
18304,34,0
18401,29,0
18454,44,0
18478,6,0
18538,36,0
18570,9,0
18657,41,1
18757,35,0
18780,17,0
18822,47,0
18848,41,0
18901,21,0
18938,35,0
18950,3,0
19002,6,0
19016,2,0
19084,15,0
19161,11,0
19219,48,0
19282,10,0
19331,42,0
19382,17,0
19387,6,0
19414,24,0
19447,43,0
19536,18,0
19580,38,0
19614,49,1
19675,35,0
19714,33,0
19751,45,1
19812,13,0
19868,26,0
19886,44,0
19890,15,0
19913,29,0
19958,13,0
19959,40,0
20034,2,0
20035,44,1
20042,36,0
20063,28,0
20160,7,0
20196,3,0
20280,26,0
20286,25,0
20343,46,0
20399,49,0
20482,47,0
20522,49,0
20531,29,0
20591,6,0
20612,15,0
20670,46,0
20721,40,0
20821,36,0
20827,3,0
20891,31,0
20929,25,0
20998,12,0
21049,34,0
21067,29,0
21122,33,0
21217,36,0
21276,40,0
21304,41,0
21389,12,0
21474,1,0
21480,12,0
21568,5,0
21588,25,0
21662,42,1
21733,26,0
21794,4,0
21850,6,0
21876,2,0
21938,24,0
22021,14,0
22079,11,0
22101,32,0
22152,10,0
22158,18,0
22166,10,0
22233,43,0
22260,46,0
22284,27,0
22336,45,0
22386,6,0
22469,8,0
22500,49,1
22578,38,0
22627,50,0
22711,21,0
22752,49,0
22815,14,0
22882,46,0
22964,50,0
22979,13,0
23054,49,0
23086,26,0
23132,3,0
23158,3,0
23209,48,0
23268,32,0
23270,7,0
23350,1,0
23358,36,0
23385,44,0
23467,14,0
23498,27,0
23588,34,0
23625,13,0
23682,6,0
23704,45,0
23713,17,0
23727,19,0
23791,28,0
23889,18,0
23986,20,0
24069,32,0
24130,50,0
24215,42,0
24243,36,0
24259,28,0
24341,38,0
24415,9,0
24473,15,0
24522,38,0
24556,17,0
24641,13,0
24646,8,1
24728,16,0
24743,11,0
24760,31,0
24837,41,0
24905,6,0
24919,43,0
24971,19,0
25039,0,0
25071,9,0
25126,45,0
25226,40,0
25261,47,0
25349,32,0
25430,22,0
25528,22,0
25536,42,0
25544,7,0
25554,6,0
25598,1,0
25641,17,0
25741,9,0
25755,50,0
25768,38,0
25815,38,0
25883,35,0
25955,29,0
26029,47,0
26050,15,0
26138,0,0
26156,43,0
26164,43,0
26231,21,0
26267,46,0
26281,22,0
26353,43,0
26412,40,0
26450,39,1
26484,50,0
26549,46,0
26604,27,0
26648,44,1
26707,33,0
26791,7,0
26822,29,0
26868,20,1
26956,33,0
27004,19,1
27035,41,0
27096,13,0
27098,36,0
27192,37,0
27231,8,0
27307,30,0
27383,39,0
27445,10,0
27512,1,0
27596,49,0
27609,24,0
27679,7,0
27693,41,0
27741,8,0
27820,16,0
27890,3,0
27912,33,0
27973,22,0
27993,14,0
28063,35,0
28134,29,0
28175,22,0
28258,4,0
28314,40,0
28334,23,0
28372,0,0
28454,37,0
28514,0,0
28558,26,0
28575,21,0
28601,9,0
28672,30,0
28757,29,0
28847,42,0
28882,37,0
28923,39,0
28942,15,0
28965,16,0
29013,10,0
29108,25,0
29110,49,0
29182,10,0
29213,19,0
29304,8,0
29378,33,0
29425,2,0
29431,32,0
29490,29,0
29493,41,0
29505,43,0
29521,45,0
29542,3,0
29568,17,0
29644,39,0
29713,39,0
29735,13,0
29771,9,0
29791,46,0
29831,37,0
29901,27,0
29952,8,0
29963,46,0
29969,23,0
30066,35,0
30100,30,0
30180,46,0
30247,34,0
30277,48,0
30319,8,0
30417,23,0
30498,32,0
30585,48,0
30589,38,0
30675,11,0
30690,22,0
30732,5,0
30802,8,0
30887,41,0
30910,5,0
30984,10,0
31049,50,0
31147,2,0
31204,16,0
31260,27,0
31293,2,0
31380,50,0
31410,26,0
31420,37,0
31471,24,0
31479,46,0
31548,5,0
31598,14,0
31670,40,1
31710,31,1
31793,10,0
31797,15,0
31845,20,0
31939,16,1
32034,40,0
32076,9,0
32081,34,0
32174,12,0
32272,50,0
32285,8,0
32367,0,0
32407,45,0
32461,42,0
32557,47,0
32595,1,0
32631,42,0
32695,19,0
32787,46,0
32812,32,0
32884,0,0
32894,15,0
32990,42,1
33072,43,0
33093,36,0
33191,45,0
33225,49,0
33283,39,0
33380,38,0
33476,49,0
33478,19,0
33565,9,0
33578,32,0
33649,4,0
33713,18,0
33807,17,0
33851,45,0
33856,25,0
33915,48,0
33991,25,0
33997,43,0
34076,16,0
34116,21,0
34180,24,0
34264,10,0
34343,19,0
34400,34,0
34468,35,0
34484,38,0
34560,40,0
34614,48,0
34661,18,0
34676,0,0
34773,4,0
34866,27,0
34899,12,0
34909,6,0
34981,33,0
35038,21,0
35057,45,0
35150,30,0
35227,37,0
35262,20,0
35301,32,0
35328,10,0
35340,28,0
35379,11,0
35449,32,0
35535,46,0
35546,44,0
35615,27,0
35658,4,0
35691,10,0
35770,33,1
35799,11,0
35801,23,0
35812,13,0
35838,25,0
35860,5,0
35893,47,0
35977,43,0
36075,47,0
36159,5,0
36236,26,0
36328,40,0
36372,1,0
36408,28,0
36431,27,0
36502,50,0
36553,49,0
36616,50,0
36649,49,0
36729,4,0
36815,26,0
36846,9,0
36858,50,0
36875,2,0
36904,29,0
36954,12,0
37039,19,0
37124,20,0
37166,7,0
37257,44,0
37333,12,0
37413,22,0
37477,31,0
37509,11,0
37557,20,0
37648,33,0
37718,34,0
37791,30,0
37875,6,0
37968,31,0
38063,5,1
38145,33,0
38192,9,0
38220,36,0
38309,32,0
38385,6,0
38466,4,0
38469,43,0
38473,44,0
38506,27,0
38560,47,0
38628,9,0
38681,11,0
38774,14,0
38868,14,0
38893,18,0
38910,42,0
38993,49,0
39038,48,0
39076,24,0
39141,35,0
39154,49,0
39217,16,0
39251,42,0
39301,0,0
39349,39,0
39405,40,0
39443,42,0
39509,23,0
39529,49,0
39609,2,0
39686,17,0
39706,19,0
39787,8,0
39805,26,0
39819,2,0
39894,42,0
39927,33,0
39965,22,0
40016,35,0
40115,25,0
40137,16,0
40189,45,0
40247,37,0
40266,47,0
40303,36,0
40395,2,0
40405,27,0
40475,22,0
40494,24,0
40548,8,0
40644,41,0
40731,15,0
40794,3,0
40853,50,0
40950,44,0
40954,37,0
41045,19,0
41088,45,0
41157,47,0
41179,44,0
41276,39,0
41374,21,0
41376,41,0
41415,28,0
41462,29,0
41503,22,0
41568,47,0
41573,0,0
41663,27,0
41732,32,1
41803,37,0
41811,11,0
41865,23,0
41950,31,0
42025,20,0
42066,5,0
42113,44,0
42209,39,0
42300,47,0
42319,2,0
42363,24,0
42455,45,0
42484,5,0
42551,28,0
42624,36,0
42703,42,0
42793,8,0
42871,14,0
42875,50,0
42883,11,0
42900,11,0
42974,19,0
43071,29,0
43093,20,0
43103,40,0
43104,36,1
43178,16,0
43271,21,0
43361,46,0
43431,36,0
43515,34,0
43602,5,0
43683,44,0
43778,44,0
43819,39,0
43861,13,0
43893,3,0
43895,27,0
43907,42,0
43957,49,0
44052,4,0
44145,14,0
44231,5,1
44306,40,0
44380,21,0
44428,47,0
44504,37,0
44507,29,0
44549,47,0
44640,9,1
44646,15,0
44679,20,0
44716,34,0
44752,16,0
44809,40,0
44814,5,0
44908,29,0
44985,26,0
44988,20,0
45084,18,0
45087,50,0
45161,30,0
45244,34,0
45337,29,0
45351,25,0
45396,1,0
45427,30,0
45429,28,0
